thread_num;block_num;read_horizontal_slices;read_vertical_slices;write_horizontal_slices;LBM_step
512;1024;0.009485;0.004413;0.010765;16.784086
512;4096;0.016375;0.004863;0.01772;15.17917
512;16384;0.048325;0.008854;0.049745;15.591325
1024;1024;0.011252;0.004671;0.01236;16.164942
1024;4096;0.027305;0.006019;0.028132;15.417912
1024;16384;0.090236;0.013584;0.091298;16.456533
64;1024;0.01019;0.004263;0.011089;23.789742
64;4096;0.0095;0.004722;0.010358;21.313072
64;16384;0.011127;0.008579;0.012319;21.295229
128;1024;0.009479;0.004299;0.010221;22.336878
128;4096;0.009587;0.004769;0.010702;19.152664
128;16384;0.016044;0.008666;0.017685;19.141596
256;1024;0.009725;0.004385;0.010305;19.941942
256;4096;0.010893;0.004743;0.012597;17.122189
256;16384;0.027025;0.008653;0.028239;17.296957
